,base,clouds,cod,coord,dt,id,main,message,name,rain,snow,sys,timezone,visibility,weather,wind
37,model,{'all': 94},200,"{'lon': -24.5, 'lat': 14.9}",1575500669.0,3374210.0,"{'temp': 69.67, 'pressure': 1016, 'humidity': 83, 'temp_min': 69.67, 'temp_max': 69.67, 'sea_level': 1016, 'grnd_level': 996}",,Sao Filipe,,,"{'country': 'CV', 'sunrise': 1575445769, 'sunset': 1575486423}",-3600.0,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 20.04, 'deg': 59}"
38,stations,{'all': 0},200,"{'lon': 114.6, 'lat': -28.77}",1575500669.0,2070998.0,"{'temp': 68, 'pressure': 1012, 'humidity': 94, 'temp_min': 68, 'temp_max': 68}",,Geraldton,,,"{'type': 1, 'id': 9522, 'country': 'AU', 'sunrise': 1575494152, 'sunset': 1575544101}",28800.0,10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 3.36, 'deg': 20}"
39,,,404,,,,,city not found,,,,,,,,
40,stations,{'all': 2},200,"{'lon': 55.77, 'lat': -21.36}",1575500669.0,935215.0,"{'temp': 72.55, 'pressure': 1013, 'humidity': 68, 'temp_min': 71.6, 'temp_max': 73.4}",,Saint-Philippe,,,"{'type': 1, 'id': 2127, 'country': 'RE', 'sunrise': 1575509199, 'sunset': 1575557301}",14400.0,10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 5.82, 'deg': 10}"
41,stations,{'all': 40},200,"{'lon': -97.15, 'lat': 27.91}",1575500669.0,4671141.0,"{'temp': 68.41, 'pressure': 1016, 'humidity': 88, 'temp_min': 66, 'temp_max': 72}",,Aransas Pass,,,"{'type': 1, 'id': 5075, 'country': 'US', 'sunrise': 1575464689, 'sunset': 1575502384}",-21600.0,16093.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]","{'speed': 9.17, 'deg': 90}"
42,stations,{'all': 75},200,"{'lon': -175.2, 'lat': -21.2}",1575500668.0,4032243.0,"{'temp': 82.4, 'pressure': 1014, 'humidity': 65, 'temp_min': 82.4, 'temp_max': 82.4}",,Vaini,,,"{'type': 1, 'id': 7285, 'country': 'TO', 'sunrise': 1575564657, 'sunset': 1575612740}",46800.0,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 8.05, 'deg': 90}"
43,model,{'all': 61},200,"{'lon': -50.22, 'lat': -30.17}",1575500669.0,3466165.0,"{'temp': 71.53, 'pressure': 1008, 'humidity': 89, 'temp_min': 71.53, 'temp_max': 71.53, 'sea_level': 1008, 'grnd_level': 1008}",,Cidreira,{'3h': 0.44},,"{'country': 'BR', 'sunrise': 1575447117, 'sunset': 1575497423}",-10800.0,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 15.17, 'deg': 36}"
44,stations,{'all': 20},200,"{'lon': 57.76, 'lat': -20.34}",1575500669.0,1106677.0,"{'temp': 75.09, 'pressure': 1014, 'humidity': 88, 'temp_min': 75, 'temp_max': 75.2}",,Bambous Virieux,,,"{'type': 1, 'id': 2061, 'country': 'MU', 'sunrise': 1575508840, 'sunset': 1575556704}",14400.0,10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 5.82, 'deg': 330}"
45,,,404,,,,,city not found,,,,,,,,
46,stations,{'all': 90},200,"{'lon': -97.86, 'lat': 55.74}",1575500412.0,6165406.0,"{'temp': 12.2, 'pressure': 1006, 'humidity': 92, 'temp_min': 12.2, 'temp_max': 12.2}",,Thompson,,,"{'type': 1, 'id': 935, 'country': 'CA', 'sunrise': 1575470486, 'sunset': 1575496928}",-21600.0,16093.0,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]","{'speed': 3.36, 'deg': 250}"
47,stations,{'all': 40},200,"{'lon': 158.65, 'lat': 53.05}",1575500669.0,2122104.0,"{'temp': 10.4, 'pressure': 983, 'humidity': 85, 'temp_min': 10.4, 'temp_max': 10.4}",,Petropavlovsk-Kamchatskiy,,,"{'type': 1, 'id': 8887, 'country': 'RU', 'sunrise': 1575494446, 'sunset': 1575522657}",43200.0,10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]","{'speed': 8.95, 'deg': 10}"
48,stations,{'all': 40},200,"{'lon': 149.2, 'lat': -21.15}",1575500669.0,2159220.0,"{'temp': 86, 'pressure': 1012, 'humidity': 66, 'temp_min': 86, 'temp_max': 86}",,Mackay,,,"{'type': 1, 'id': 9498, 'country': 'AU', 'sunrise': 1575486798, 'sunset': 1575534843}",36000.0,10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]","{'speed': 11.41, 'deg': 360}"
49,model,{'all': 96},200,"{'lon': -134.97, 'lat': -23.12}",1575500669.0,4030556.0,"{'temp': 79.5, 'pressure': 1014, 'humidity': 75, 'temp_min': 79.5, 'temp_max': 79.5, 'sea_level': 1014, 'grnd_level': 1014}",,Rikitea,,,"{'country': 'PF', 'sunrise': 1575468364, 'sunset': 1575516868}",-32400.0,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]","{'speed': 2.71, 'deg': 121}"
